Aqr,8414,331.445833,-0.319722,2.96,alf,Sadalmelik|BUP 232A|alf Aqr|34 Aqr,8499,334.208333,-7.783333,4.16,tet,Ancha|tet Aqr|43 Aqr
Aqr,8414,331.445833,-0.319722,2.96,alf,Sadalmelik|BUP 232A|alf Aqr|34 Aqr,8518,335.414167,-1.387222,3.84,gam,Sadachbia|gam Aqr|48 Aqr
Aqr,8414,331.445833,-0.319722,2.96,alf,Sadalmelik|BUP 232A|alf Aqr|34 Aqr,8539,336.319167,1.3775,4.66,pi.,52 Aqr|pi. Aqr
Aqr,8499,334.208333,-7.783333,4.16,tet,Ancha|tet Aqr|43 Aqr,8698,343.15375,-7.579722,3.74,lam,lam Aqr|73 Aqr
Aqr,8518,335.414167,-1.387222,3.84,gam,Sadachbia|gam Aqr|48 Aqr,8558,337.207083,-0.020278,4.59,zet,STF 2909B|55 Aqr B|zet Aqr B|zet01 Aqr
Aqr,8539,336.319167,1.3775,4.66,pi.,52 Aqr|pi. Aqr,8558,337.207083,-0.020278,4.59,zet,STF 2909B|55 Aqr B|zet Aqr B|zet01 Aqr
Aqr,8558,337.207083,-0.020278,4.59,zet,STF 2909B|55 Aqr B|zet Aqr B|zet01 Aqr,8597,338.839167,-0.1175,4.02,eta,eta Aqr|62 Aqr
Aqr,8679,342.397917,-13.5925,4.01,tau,tau Aqr|71 Aqr|tau02 Aqr,8698,343.15375,-7.579722,3.74,lam,lam Aqr|73 Aqr
Aqr,8679,342.397917,-13.5925,4.01,tau,tau Aqr|71 Aqr|tau02 Aqr,8709,343.6625,-15.820833,3.27,del,Skat|del Aqr|76 Aqr
Aqr,8698,343.15375,-7.579722,3.74,lam,lam Aqr|73 Aqr,8834,348.580833,-6.048889,4.22,phi,phi Aqr|90 Aqr
Aqr,8709,343.6625,-15.820833,3.27,del,Skat|del Aqr|76 Aqr,8858,349.475833,-9.1825,4.39,psi2,93 Aqr|psi02 Aqr
Aqr,8834,348.580833,-6.048889,4.22,phi,phi Aqr|90 Aqr,8858,349.475833,-9.1825,4.39,psi2,93 Aqr|psi02 Aqr
Aqr,8858,349.475833,-9.1825,4.39,psi2,93 Aqr|psi02 Aqr,8892,350.7425,-20.100556,3.97,-,98 Aqr|b01 Aqr
Ara,6229,252.44625,-59.041389,3.76,eta,eta Ara,6285,254.655,-55.990278,3.13,zet,zet Ara
Ara,6229,252.44625,-59.041389,3.76,eta,eta Ara,6500,262.774583,-60.683889,3.62,del,del Ara A|del Ara
Ara,6285,254.655,-55.990278,3.13,zet,zet Ara,6295,254.89625,-53.160556,4.06,eps1,eps01 Ara
Ara,6295,254.89625,-53.160556,4.06,eps1,eps01 Ara,6510,262.960417,-49.876111,2.95,alf,HJ 4955A|alf Ara
Ara,6461,261.325,-55.53,2.85,bet,bet Ara,6462,261.348333,-56.3775,3.34,gam,HJ 4942A|ANT 5A|gam Ara
Ara,6461,261.325,-55.53,2.85,bet,bet Ara,6510,262.960417,-49.876111,2.95,alf,HJ 4955A|alf Ara
Ara,6462,261.348333,-56.3775,3.34,gam,HJ 4942A|ANT 5A|gam Ara,6500,262.774583,-60.683889,3.62,del,del Ara A|del Ara
Ara,6510,262.960417,-49.876111,2.95,alf,HJ 4955A|alf Ara,6743,271.657917,-50.091667,3.66,tet,tet Ara
Ari,546,28.3825,19.293611,4.75,gam2,Mesarthim|STF 180A|5 Ari A|gam02 Ari,553,28.66,20.808056,2.64,bet,Sheratan|MKT 3|bet Ari|6 Ari
Ari,553,28.66,20.808056,2.64,bet,Sheratan|MKT 3|bet Ari|6 Ari,617,31.793333,23.4625,2,alf,Hamal|13 Ari|alf Ari
Ari,617,31.793333,23.4625,2,alf,Hamal|13 Ari|alf Ari,838,42.495833,27.260556,3.63,-,Bharani|MCA 10|STT 47A|41 Ari
Aur,1577,74.248333,33.166111,2.69,iot,Hassaleh|iot Aur|3 Aur,1641,76.62875,41.234444,3.17,eta,Haedus|10 Aur|eta Aur
Aur,1577,74.248333,33.166111,2.69,iot,Hassaleh|iot Aur|3 Aur,1791,81.572917,28.6075,1.65,gam,Elnath|bet Tau|gam Aur|112 Tau
Aur,1605,75.492083,43.823333,2.99,eps,Almaaz|eps Aur|7 Aur,1612,75.619583,41.075833,3.75,zet,Saclateni|MKT 6|zet Aur|8 Aur
Aur,1605,75.492083,43.823333,2.99,eps,Almaaz|eps Aur|7 Aur,1708,79.1725,45.998056,0.08,alf,Capella|ANJ 1|FRH 1A|alf Aur|13 Aur
Aur,1641,76.62875,41.234444,3.17,eta,Haedus|10 Aur|eta Aur,1708,79.1725,45.998056,0.08,alf,Capella|ANJ 1|FRH 1A|alf Aur|13 Aur
Aur,1708,79.1725,45.998056,0.08,alf,Capella|ANJ 1|FRH 1A|alf Aur|13 Aur,2088,89.882083,44.9475,1.9,bet,Menkalinan|bet Aur|34 Aur
Aur,1791,81.572917,28.6075,1.65,gam,Elnath|bet Tau|gam Aur|112 Tau,2095,89.930417,37.2125,2.62,tet,Mahasim|STT 545AB|tet Aur|37 Aur
Aur,2077,89.881667,54.284722,3.72,del,del Aur|33 Aur,2088,89.882083,44.9475,1.9,bet,Menkalinan|bet Aur|34 Aur
Aur,2088,89.882083,44.9475,1.9,bet,Menkalinan|bet Aur|34 Aur,2095,89.930417,37.2125,2.62,tet,Mahasim|STT 545AB|tet Aur|37 Aur
Boo,5235,208.67125,18.397778,2.68,eta,Muphrid|SHJ 169A|eta Boo|8 Boo,5340,213.915417,19.1825,-0.04,alf,Arcturus|alf Boo|16 Boo
Boo,5329,213.370833,51.790278,4.54,kap2,STF 1821A|17 Boo A|kap02 Boo,5351,214.095833,46.088333,4.18,lam,Xuange|lam Boo|19 Boo
Boo,5329,213.370833,51.790278,4.54,kap2,STF 1821A|17 Boo A|kap02 Boo,5404,216.299167,51.850833,4.05,tet,STT 580A|tet Boo|23 Boo
Boo,5340,213.915417,19.1825,-0.04,alf,Arcturus|alf Boo|16 Boo,5429,217.9575,30.371389,3.58,rho,25 Boo|rho Boo
Boo,5340,213.915417,19.1825,-0.04,alf,Arcturus|alf Boo|16 Boo,5478,220.287083,13.728333,4.43,zet,STF 1865A|zet Boo A|30 Boo A
Boo,5340,213.915417,19.1825,-0.04,alf,Arcturus|alf Boo|16 Boo,5506,221.246667,27.074167,2.7,eps,Izar|STF 1877A|36 Boo A|eps Boo A
Boo,5351,214.095833,46.088333,4.18,lam,Xuange|lam Boo|19 Boo,5404,216.299167,51.850833,4.05,tet,STT 580A|tet Boo|23 Boo
Boo,5351,214.095833,46.088333,4.18,lam,Xuange|lam Boo|19 Boo,5435,218.019583,38.308333,3.03,gam,Seginus|BLM 3|BU 616A|gam Boo|27 Boo
Boo,5429,217.9575,30.371389,3.58,rho,25 Boo|rho Boo,5435,218.019583,38.308333,3.03,gam,Seginus|BLM 3|BU 616A|gam Boo|27 Boo
Boo,5435,218.019583,38.308333,3.03,gam,Seginus|BLM 3|BU 616A|gam Boo|27 Boo,5602,225.486667,40.390556,3.5,bet,Nekkar|42 Boo|bet Boo
Boo,5506,221.246667,27.074167,2.7,eps,Izar|STF 1877A|36 Boo A|eps Boo A,5681,228.875833,33.314722,3.47,del,STF 27|49 Boo|del Boo
Boo,5602,225.486667,40.390556,3.5,bet,Nekkar|42 Boo|bet Boo,5681,228.875833,33.314722,3.47,del,STF 27|49 Boo|del Boo
CMa,2294,95.675,-17.955833,1.98,bet,Mirzam|2 CMa|bet CMa,2429,99.170833,-19.255833,3.95,nu.2,nu.02 CMa|7 CMa
CMa,2294,95.675,-17.955833,1.98,bet,Mirzam|2 CMa|bet CMa,2491,101.287083,-16.716111,-1.46,alf,Sirius|Dog Star|AGC 1|alf CMa|9 CMa
CMa,2429,99.170833,-19.255833,3.95,nu.2,nu.02 CMa|7 CMa,2580,103.532917,-24.183889,3.87,omi1,16 CMa|omi01 CMa
CMa,2491,101.287083,-16.716111,-1.46,alf,Sirius|Dog Star|AGC 1|alf CMa|9 CMa,2596,104.034167,-17.054167,4.37,iot,20 CMa|iot CMa
CMa,2491,101.287083,-16.716111,-1.46,alf,Sirius|Dog Star|AGC 1|alf CMa|9 CMa,2653,105.75625,-23.833333,3.02,omi2,omi02 CMa|24 CMa
CMa,2574,103.5475,-12.038611,4.07,tet,tet CMa|14 CMa,2596,104.034167,-17.054167,4.37,iot,20 CMa|iot CMa
CMa,2574,103.5475,-12.038611,4.07,tet,tet CMa|14 CMa,2657,105.939583,-15.633333,4.12,gam,Muliphein|gam CMa|23 CMa
CMa,2580,103.532917,-24.183889,3.87,omi1,16 CMa|omi01 CMa,2618,104.65625,-28.972222,1.5,eps,Adhara|eps CMa|21 CMa
CMa,2596,104.034167,-17.054167,4.37,iot,20 CMa|iot CMa,2657,105.939583,-15.633333,4.12,gam,Muliphein|gam CMa|23 CMa
CMa,2618,104.65625,-28.972222,1.5,eps,Adhara|eps CMa|21 CMa,2693,107.097917,-26.393333,1.84,del,Wezen|25 CMa|del CMa
CMa,2653,105.75625,-23.833333,3.02,omi2,omi02 CMa|24 CMa,2693,107.097917,-26.393333,1.84,del,Wezen|25 CMa|del CMa
CMa,2693,107.097917,-26.393333,1.84,del,Wezen|25 CMa|del CMa,2827,111.02375,-29.303056,2.45,eta,Aludra|eta CMa|31 CMa
CMi,2845,111.7875,8.289444,2.9,bet,Gomeisa|BUP 101A|bet CMi|3 CMi,2943,114.825417,5.225,0.38,alf,Procyon|SHB 1|10 CMi|alf CMi
